label,R1,countsOFF_R1,countsON_R1,R2,countsOFF_R2,countsON_R2,Avg,Standard Error
aHV_P01876_018,-0.481309393,2688,4052,-0.457885607,2866,4001,-0.4695975,0.011711893
aHV_P01876_019,-0.15428449,2236,2687,-0.215088474,2147,2533,-0.184686482,0.030401992
aHV_P01876_020,-0.091834026,2845,3274,-0.080604353,2835,3047,-0.086219189,0.005614837
aHV_P01876_021,-0.103222154,2689,3119,0.011028108,3010,3036,-0.046097023,0.057125131
aHV_P01876_022,-0.005052479,2117,2294,-0.2706205,2331,2858,-0.137836489,0.13278401
aHV_P01876_023,-0.282441486,1350,1773,0.036684394,1641,1626,-0.122878546,0.15956294
aHV_P01876_024,-0.038071743,1196,1326,-0.079946917,1373,1475,-0.05900933,0.020937587
aHV_P01876_025,-0.184293497,1009,1238,-0.006771324,1087,1110,-0.095532411,0.088761087
aHV_P01876_026,-0.124077143,2681,3155,0.093372284,3022,2879,-0.015352429,0.108724713
aHV_P01876_027,0.176090781,1740,1663,0.039594085,1706,1687,0.107842433,0.068248348
aHV_P01876_028,-0.143075488,1684,2008,0.133131277,2158,2000,-0.004972105,0.138103382
aHV_P01876_029,-0.010120872,1773,1928,-0.070631912,1692,1806,-0.040376392,0.03025552
aHV_P02768_001,-0.057517927,2085,2343,-0.049186536,2305,2424,-0.053352232,0.004165696
aHV_P02768_002,-0.106595019,1691,1966,0.110208269,1696,1597,0.001806625,0.108401644
aHV_P02768_003,0.00668324,1470,1580,-0.119368894,1605,1772,-0.056342827,0.063026067
aHV_P02768_004,-0.459815565,505,750,-0.05928851,610,646,-0.259552037,0.200263527
aHV_P02768_005,-0.052186707,3169,3548,-0.195806019,2882,3355,-0.123996363,0.071809656
aHV_P02768_006,-0.23249981,1649,2092,0.087897428,1785,1707,-0.072301191,0.160198619
aHV_P02768_007,-0.294387216,1138,1507,-0.220646062,1226,1452,-0.257516639,0.036870577
aHV_P02768_008,-0.202216659,1882,2338,-0.476670049,1774,2509,-0.339443354,0.137226695
aHV_P02768_009,-0.293636196,1706,2258,-0.276671146,1812,2231,-0.285153671,0.008482525
aHV_P02768_010,0.178315637,1006,960,0.274179412,1122,943,0.226247525,0.047931887
aHV_P02768_011,0.555761068,1737,1276,0.528260843,1812,1277,0.542010955,0.013750113
aHV_P02768_012,0.027862019,1200,1271,0.073549527,1406,1358,0.050705773,0.022843754
aHV_P02768_013,-0.075586224,1240,1411,-0.152135152,1275,1440,-0.113860688,0.038274464
aHV_P02768_014,0.28334786,2058,1826,-0.077719043,1721,1846,0.102814408,0.180533452
aHV_P02768_015,0.098037371,1464,1477,-0.124539616,1435,1590,-0.013251123,0.111288493
aHV_P02768_016,-0.012523004,2443,2661,0.166217368,2547,2307,0.076847182,0.089370186
aHV_P02768_017,0.038163843,1472,1548,-0.101508706,1437,1567,-0.031672431,0.069836274
aHV_P02768_018,-0.114242775,2494,2915,-0.21651438,2625,3100,-0.165378578,0.051135803
aHV_P02768_019,0.320424683,4015,3472,0.092140121,3892,3711,0.206282402,0.114142281
aHV_P02768_020,-0.099789269,1279,1480,-0.034339919,1395,1452,-0.067064594,0.032724675
aHV_P02768_021,-0.061874264,818,922,-0.098268081,818,890,-0.080071173,0.018196908
aHV_P02768_022,-0.114178922,1837,2147,0.024833696,2066,2064,-0.044672613,0.069506309
aHV_P02768_023,-0.073417584,1072,1218,-0.074668726,1009,1080,-0.074043155,0.000625571
aHV_P02768_024,0.088782139,1301,1321,-0.034636553,1266,1318,0.027072793,0.061709346
aHV_P02768_025,-0.211813759,4685,5859,-0.24883453,4593,5547,-0.230324144,0.018510385
aHV_P02768_026,-0.467284472,560,836,-0.412888724,555,751,-0.440086598,0.027197874
aHV_P02768_027,-0.402184745,452,645,0.076746873,634,611,-0.162718936,0.239465809
aHV_P02768_028,-0.21618968,1596,2002,-0.295438359,1419,1770,-0.255814019,0.03962434
aHV_P02768_029,-0.125428632,1602,1887,-0.372364868,1359,1788,-0.24889675,0.123468118
aHV_P02768_030,0.025151668,2469,2620,-0.065177975,2431,2585,-0.020013154,0.045164821
aHV_P02768_031,-0.087900943,1964,2254,-0.149444234,2113,2382,-0.118672588,0.030771645
aHV_P02768_032,-0.115777761,1823,2133,-0.118490299,1954,2156,-0.11713403,0.001356269
aHV_P02768_033,-0.012178999,2068,2252,0.003724371,2108,2137,-0.004227314,0.007951685
aHV_P02768_034,-0.094694544,1496,1725,0.180906415,1557,1396,0.043105936,0.137800479
aHV_P02768_035,-0.02577537,1541,1694,0.048891049,1601,1573,0.01155784,0.03733321
aHV_P02768_036,-0.308047426,1137,1520,0.091219606,1438,1372,-0.10841391,0.199633516
aHV_P02768_037,0.193847383,1430,1350,-0.018321684,1328,1367,0.087762849,0.106084533
aHV_P02768_038,0.447387788,865,685,0.010741339,792,799,0.229064564,0.218323224
aHV_P02768_039,0.322429436,1136,981,-0.113466739,874,961,0.104481349,0.217948088
aHV_P02768_040,0.301823269,2298,2013,0.011550083,1934,1950,0.156686676,0.145136593
aHV_P02768_041,-0.05052834,2130,2382,0.113321916,2533,2380,0.031396788,0.081925128
aHV_P02768_042,-0.142964949,1430,1705,-0.410145988,1372,1853,-0.276555468,0.133590519
aHV_P02768_043,-0.120972612,1096,1287,0.103543151,1296,1226,-0.00871473,0.112257882
aHV_P02768_044,-0.167574417,1170,1419,0.206600437,1560,1374,0.01951301,0.187087427
aHV_P02768_045,-0.101835036,1927,2233,0.15031882,2233,2045,0.024241892,0.126076928
aHV_P02768_046,-0.080507009,1206,1377,-0.239411007,1286,1543,-0.159959008,0.079451999
aHV_P02768_047,-0.233716045,1027,1304,-0.131063262,1097,1221,-0.182389654,0.051326391
aHV_P02768_048,-0.138445215,1681,1998,-0.106844496,1693,1853,-0.122644856,0.01580036
aHV_P02768_049,-0.26629484,857,1113,-0.21403133,816,962,-0.240163085,0.026131755
aHV_P02768_050,-0.156688668,216,260,-0.123083985,290,321,-0.139886326,0.016802341
aHV_P02768_051,-0.363624403,1428,1984,-0.231675595,1613,1925,-0.297649999,0.065974404
aHV_P02768_052,-0.46949437,824,1232,-0.465352438,796,1117,-0.467423404,0.002070966
aHV_P02768_053,-0.490455941,646,980,-0.033853391,864,899,-0.262154666,0.228301275
aHV_P02768_054,0.15930118,1119,1082,-0.195820396,987,1149,-0.018259608,0.177560788
aHV_P03081_001,-0.130301624,1303,1540,-0.002044558,1403,1428,-0.066173091,0.064128533
aHV_P03081_002,-0.317370979,848,1141,-0.499263404,655,941,-0.408317191,0.090946213
aHV_P03081_003,0.145196577,976,953,-0.041855048,864,904,0.051670764,0.093525812
aHV_P03081_004,-0.36856067,680,948,-0.410564491,718,970,-0.38956258,0.021001911
aHV_P03081_005,0.095737297,2002,2023,0.201415991,2335,2064,0.148576644,0.052839347
aHV_P03081_006,0.160305598,741,716,0.059692298,685,668,0.109998948,0.05030665
aHV_P03081_007,0.218522766,2585,2399,0.194931506,2873,2551,0.206727136,0.01179563
aHV_P03081_008,0.112797708,4318,4312,0.162119299,4528,4113,0.137458503,0.024660795
aHV_P03081_009,0.046832347,2934,3067,-0.068904743,2935,3129,-0.011036198,0.057868545
aHV_P03081_010,-0.096200685,1776,2050,0.1082255,2190,2065,0.006012408,0.102213093
aHV_P03081_011,0.113329366,2845,2840,-0.04291782,2762,2892,0.035205773,0.078123593
aHV_P03129_001,1.089385877,5285,2682,0.658473655,4485,2888,0.873929766,0.215456111
aHV_P03129_002,0.12576415,2034,2013,-0.09692854,1632,1774,0.014417805,0.111346345
aHV_P03129_003,0.317359097,1904,1650,0.306790802,2002,1645,0.31207495,0.005284147
aHV_P03170_001,-0.135307043,457,542,-0.304187788,455,571,-0.219747416,0.084440372
aHV_P03170_002,-1.009767281,109,237,-0.447869307,132,183,-0.728818294,0.280948987
