label,R1,countsOFF_R1,countsON_R1,R2,countsOFF_R2,countsON_R2,Avg,Standard Error
HHV-Hits_P03179_123,0.6502503289362835,1862.0,1377.0,0.4849393119548532,2322,1590,0.5675948204455683,0.08265550849071517
HHV-Hits_P03186_071,0.0981770067881557,1483.0,1608.0,0.0662028895987498,1772,1622,0.08218994819345275,0.01598705859470295
HHV-Hits_P03186_099,0.4233095408970002,1264.0,1094.0,-0.1402472907128693,1531,1617,0.14153112509206545,0.28177841580493473
HHV-Hits_P03186_108,0.3884230518580498,556.0,493.0,0.5444527737653608,939,617,0.4664379128117053,0.07801486095365551
HHV-Hits_P03186_123,-0.6039081149884471,1377.0,2429.0,-0.2609868697015475,2022,2322,-0.4324474923449973,0.1714606226434498
HHV-Hits_P03186_124,0.479960723225685,1299.0,1081.0,0.0001977934192716,1890,1811,0.2400792583224783,0.23988146490320666
HHV-Hits_P03186_144,1.0813012513822589,237.0,130.0,0.2618195171698873,279,223,0.6715603842760731,0.4097408671061858
HHV-Hits_P03186_200,0.5677364166730731,2715.0,2126.0,0.3088282221655474,3561,2755,0.43828231941931023,0.1294540972537628
HHV-Hits_P03186_201,0.2828743071978937,1565.0,1493.0,0.0210602654529774,1674,1581,0.15196728632543555,0.13090702087245815
HHV-Hits_P03186_202,0.0382244040498702,944.0,1067.0,0.153236167478198,1237,1066,0.0957302857640341,0.05750588171416388
HHV-Hits_P03186_204,0.3184156532705036,809.0,753.0,0.0511129088250787,973,900,0.18476428104779113,0.13365137222271242
HHV-Hits_P03186_205,0.3765952435509839,1198.0,1071.0,0.2415692726304356,1531,1241,0.30908225809070977,0.06751298546027415
HHV-Hits_P03186_303,0.3565531561932842,1016.0,921.0,0.3454452068862179,1815,1369,0.35099918153975107,0.005553974653533161
HHV-Hits_P03186_304,-0.0522920502892933,1607.0,1934.0,-0.0423536243522489,1906,1881,-0.0473228373207711,0.004969212968522197
HHV-Hits_P03188_041,0.849070161852108,1462.0,942.0,0.5039544059489972,2156,1457,0.6765122839005526,0.1725578779515554
HHV-Hits_P03188_056,0.5855747258712173,2635.0,2038.0,0.0993228818506006,3263,2919,0.3424488038609089,0.2431259220103083
HHV-Hits_P03189_099,0.4470896961193999,2395.0,2039.0,0.2890747189823767,3496,2742,0.3680822075508883,0.07900748856851161
HHV-Hits_P03198_031,0.3551034735607142,2052.0,1862.0,0.2310429415145049,2676,2185,0.29307320753760957,0.062030266023104644
HHV-Hits_P03198_040,0.1776126570443982,458.0,470.0,-0.0324020230164435,603,591,0.07260531701397735,0.10500734003042084
HHV-Hits_P03198_089,0.6031217025726568,852.0,651.0,0.2830281986432147,1050,827,0.4430749506079358,0.16004675196472107
HHV-Hits_P03200_011,0.5471128845426474,1376.0,1093.0,0.3294645299437134,1677,1279,0.43828870724318036,0.10882417729946699
HHV-Hits_P03200_012,0.5467792656471155,2516.0,1999.0,0.5939303108426907,3676,2334,0.5703547882449032,0.023575522597787557
HHV-Hits_P03200_013,0.6225504910790625,2653.0,2000.0,0.3567054665067075,3450,2582,0.489627978792885,0.13292251228617746
HHV-Hits_P03200_014,-0.0562048928267277,1925.0,2323.0,-0.0586700343489704,2643,2638,-0.05743746358784905,0.0012325707611213488
HHV-Hits_P03200_016,0.5477802868515043,1723.0,1368.0,0.2678245739977791,2279,1814,0.4078024304246417,0.13997785642686258
HHV-Hits_P03200_017,0.5859014512222909,1623.0,1255.0,0.2882948508725305,2072,1626,0.4370981510474107,0.14880330017488017
HHV-Hits_P03200_018,0.5874284301084222,1749.0,1351.0,0.7346783439960352,2358,1358,0.6610533870522286,0.0736249569438065
HHV-Hits_P03200_019,0.6985845353420327,1794.0,1283.0,0.5981075593472146,2363,1496,0.6483460473446236,0.050238487997409036
HHV-Hits_P03200_020,0.5081748343932555,1544.0,1260.0,0.6970819608736663,2184,1291,0.6026283976334609,0.09445356324020537
HHV-Hits_P03200_037,0.4074657982050573,1961.0,1716.0,0.3214008375649516,2862,2195,0.36443331788500444,0.04303248032005285
HHV-Hits_P03203_030,0.9318536564421152,715.0,435.0,0.3573766198926843,901,674,0.6446151381673997,0.2872385182747154
HHV-Hits_P03203_062,1.4500925984805326,605.0,257.0,0.1336140876661473,957,836,0.79185334307334,0.6582392554071926
HHV-Hits_P03203_063,0.9008172250843908,777.0,483.0,0.5156951910161883,1189,797,0.7082562080502895,0.19256101703410122
HHV-Hits_P03204_049,0.9068035201501222,903.0,559.0,0.6249809238780178,1149,714,0.76589222201407,0.1409112981360522
HHV-Hits_P03204_050,1.3193632257054482,716.0,333.0,0.1540831595615117,764,658,0.73672319263348,0.5826400330719682
HHV-Hits_P03206_001,0.443163552683769,1319.0,1126.0,0.0284587177741377,1656,1556,0.23581113522895336,0.2073524174548156
HHV-Hits_P03206_002,0.1072429347615197,1342.0,1446.0,-0.0458888953676712,1683,1665,0.030677019696924254,0.07656591506459545
HHV-Hits_P03206_003,0.5307461521238692,2416.0,1941.0,0.3982048188728341,3090,2247,0.46447548549835166,0.06627066662551756
