label,R1,countsOFF_R1,countsON_R1,R2,countsOFF_R2,countsON_R2,Avg,Standard Error
HHV-Hits_F5HDE4_030,4.812097608995723,302,14,4.1518616581852505,328,22,4.481979633590487,0.33011797540523613
HHV-Hits_F5HDE4_031,3.516658428645225,457,52,3.8360878247186094,551,46,3.6763731266819173,0.1597146980366921
HHV-Hits_F5HDE4_032,2.991545384556542,342,56,3.288736693560668,459,56,3.140141039058605,0.14859565450206302
HHV-Hits_F5HDE4_033,3.5391956253942065,366,41,3.572892282421253,519,52,3.5560439539077295,0.016848328513523247
HHV-Hits_F5HDE4_034,3.4266904572839603,289,35,2.7091930399292163,362,66,3.0679417486065885,0.3587487086773719
HHV-Hits_F5HEU7_070,1.8767429543523169,282,100,1.6423065601221172,288,110,1.759524757237217,0.11721819711509984
HHV-Hits_F5HF23_001,1.724081519627262,482,190,1.4761336935409124,553,237,1.6001076065840873,0.12397391304317483
HHV-Hits_F5HF23_002,1.48184843251574,163,76,1.156044598317331,157,84,1.3189465154165356,0.16290191709920443
HHV-Hits_F5HF23_003,1.1782309087285607,318,183,1.3211405574900508,482,230,1.2496857331093056,0.07145482438074502
HHV-Hits_F5HF49_015,1.4463392519799672,226,108,1.9386452107995276,254,79,1.6924922313897475,0.2461529794097802
HHV-Hits_F5HF68_016,1.374161406143008,209,105,1.4451067979202878,322,141,1.409634102031648,0.03547269588863988
HHV-Hits_F5HFD2_035,2.5905011573571977,222,48,2.094263058197268,308,86,2.342382107777233,0.24811904957996475
HHV-Hits_F5HGB6_029,0.8222375788630606,334,246,0.7801776963191649,471,327,0.8012076375911128,0.02102994127194785
HHV-Hits_F5HGB6_037,1.078251557019082,501,309,1.330670150637387,597,283,1.2044608538282344,0.1262092968091525
HHV-Hits_F5HGB6_038,1.607475726299853,358,153,1.465856214345085,373,161,1.536665970322469,0.07080975597738393
HHV-Hits_F5HGB6_039,1.212847470755397,372,209,0.9704623610964986,401,244,1.0916549159259477,0.12119255482944913
HHV-Hits_F5HGH5_001,2.5509727931705606,207,46,2.5935912750890893,243,48,2.5722820341298247,0.021309240959264338
HHV-Hits_F5HGH5_002,1.9800854776611267,103,34,1.5813159302329691,128,51,1.780700703947048,0.19938477371407878
HHV-Hits_F5HGH5_003,2.436901026461766,79,19,1.7184095392079086,69,25,2.0776552828348374,0.35924574362692857
HHV-Hits_F5HGI9_003,0.267391009932681,122,132,0.7339629402434454,166,119,0.5006769750880632,0.23328596515538222
HHV-Hits_F5HGP1_021,0.9385295560272972,234,159,1.0532766898027697,322,185,0.9959031229150335,0.05737356688773626
HHV-Hits_F5HGP1_036,1.2569574440036042,334,182,1.7312746972170725,401,144,1.4941160706103385,0.23715862660673412
HHV-Hits_F5HGU6_019,0.3948535912532783,105,104,1.3613819953924342,153,71,0.8781177933228562,0.48326420206957793
HHV-Hits_F5HGU6_020,0.1600209124160296,151,176,0.657890455340572,176,133,0.4089556838783008,0.24893477146227116
